Depth_cm,Valid_Cycles,FC_Direct_Mean,FC_Direct_Std,FC_SWDP_R_Mean,FC_SWDP_R_Std,SWDP_R_R2_Median,FC_R_FP_Mean,FC_SWDP_K_Rate_Mean,Method_Spread_Mean,FC_Consensus_Mean,Direct_CV_pct,SWDP_R_CV_pct
15,1,0.2689575714285716,,0.26952331193203394,,0.8157248313904983,0.2689575714285716,0.270560904761905,0.001603333333333401,0.26924044168030276,,
45,1,0.2774883333333335,,0.2771651485311512,,0.742387878472746,0.2790607619047621,0.2777004285714288,0.0018956133736108827,0.27759438095238115,,
50,1,0.277222523809524,,0.2770449487155531,,0.6677335881639168,0.2775536666666668,0.2775536666666668,0.0005087179511137352,0.2773880952380954,,
65,1,0.273781523809524,,0.27314908341845123,,0.7575077857529356,0.2770171904761906,0.2770399523809526,0.003890868962501348,0.2753993571428573,,
85,3,0.30325025396825417,0.03408881859256846,0.3015483093826634,0.03212916443882664,0.9289594433352648,0.30600111111111133,0.30479034920634945,0.006184794084879319,0.3034966628448826,11.24115088000456,10.654732074141686
105,2,0.3407810476190478,0.013635106389868744,0.3397889834455755,0.011797533677030013,0.8879100639064759,0.34342859523809544,0.3411265714285716,0.0037932597688695724,0.34103063351198454,4.001134008224293,3.4720177085787243
125,2,0.36611952380952406,0.010125163015064692,0.3654823806864981,0.009322024802161825,0.7646335769192879,0.3675980238095241,0.36614661904761925,0.002115643123026034,0.36613307142857165,2.7655348476669523,2.5506085367650133
