Validation_Type,Held_Out_Event,N_Samples,Hybrid_R2,Hybrid_RMSE,Hybrid_MAE,Hybrid_Bias,SWDP_R_R2,SWDP_R_RMSE,SWDP_R_MAE,SWDP_R_Bias,Direct_CatBoost_R2,Direct_CatBoost_RMSE,Direct_CatBoost_MAE,Direct_CatBoost_Bias,Delta_RMSE
LOEO_CV,3,1,,0.0007354159930335613,0.0007354159930335613,0.0007354159930335613,,0.0012050475995996068,0.0012050475995996068,-0.0012050475995996068,,0.06285525197403247,0.06285525197403247,-0.06285525197403247,-0.0004696316065660455
LOEO_CV,4,2,0.7715334931037127,0.0032596189738951123,0.002921337953224523,-0.002921337953224523,0.6546871110999459,0.004007393234932571,0.0037374189116763934,-0.0037374189116763934,-28.846135403099012,0.03725629114073461,0.03662683442279338,-0.03662683442279338,-0.0007477742610374591
LOEO_CV,10,1,,0.000634546681755388,0.000634546681755388,0.000634546681755388,,0.0009494925404528454,0.0009494925404528454,-0.0009494925404528454,,0.0406000501540153,0.0406000501540153,0.0406000501540153,-0.0003149458586974574
LOEO_CV,14,3,-0.024090889583030517,0.0017084607025902377,0.001707323934563243,0.001707323934563243,0.9373182079653717,0.00042267488633728357,0.0003777334290753405,-0.0003777334290753405,-946.5345898332522,0.05196767400516149,0.05185912176682302,0.05185912176682302,0.0012857858162529541
