Column,Depth_cm,Total_Observations,Invalid_or_Missing_Count,Short_Gaps_Interpolated,Remaining_NaN_Count,Valid_Segments_Count,Min_VMC,Max_VMC,Mean_VMC,Std_VMC
SM_VWCFinal_15_m3_m3_,15,3561,0,0,0,2,0.175096,0.339628,0.25190225582701486,0.037271004682707366
SM_VWCFinal_25_m3_m3_,25,3561,0,0,0,2,0.1738,0.357052,0.24358709238977816,0.04015499934273086
SM_VWCFinal_45_m3_m3_,45,3561,0,0,0,2,0.204344,0.347494,0.2605887292895254,0.027867895842447303
SM_VWCFinal_50_m3_m3_,50,3561,1,0,1,3,0.204607,0.32995,0.25955205421348315,0.029897158425712857
SM_VWCFinal_65_m3_m3_,65,3561,0,0,0,2,0.219324,0.320198,0.26294811373209775,0.022334665334667735
SM_VWCFinal_85_m3_m3_,85,3561,0,0,0,2,0.25429,0.372141,0.29061657203032853,0.020625788734206226
SM_VWCFinal_105_m3_m3_,105,3561,0,0,0,2,0.295217,0.366393,0.3231923583263128,0.014699147133158048
SM_VWCFinal_125_m3_m3_,125,3561,0,0,0,2,0.305395,0.375435,0.3506299165964617,0.02006334614988727
SM_VWCFinal1_140_m3_m3_,140,3561,0,0,0,2,0.29799,0.366377,0.341493398483572,0.020886800350634494
