Depth_cm,mean,median,std,min,max
15,0.2674774778486013,0.2674774778486013,,0.2674774778486013,0.2674774778486013
45,0.2771637214270115,0.2771637214270115,0.0003004189932706787,0.2769512931196726,0.2773761497343505
50,0.2768616171764703,0.2768616171764703,0.0006844332585422058,0.2763776497780855,0.2773455845748551
85,0.30278652042309984,0.30268582663663157,0.03424596237469536,0.26859101596846885,0.3370827186641991
105,0.33933337984761835,0.33933337984761835,0.015835504746181093,0.32813598705808195,0.35053077263715476
125,0.36527017006243473,0.36527017006243473,0.01127262354955348,0.3572992215087823,0.37324111861608716
140,0.36295160865580306,0.36295160865580306,,0.36295160865580306,0.36295160865580306
