Timestamp,SM_VWCFinal1_140_m3_m3_,SM_VWCFinal_125_m3_m3_,SM_VWCFinal_105_m3_m3_,SM_VWCFinal_85_m3_m3_,SM_VWCFinal_65_m3_m3_,SM_VWCFinal_50_m3_m3_,SM_VWCFinal_45_m3_m3_,SM_VWCFinal_25_m3_m3_,SM_VWCFinal_15_m3_m3_,Irrigation_mm,Precipitation_mm,Total_Water_mm,Gap_hours,Elapsed_hours,SM_VWCFinal_15_m3_m3__smoothed,SM_VWCFinal_15_m3_m3__d1,SM_VWCFinal_15_m3_m3__d2,SM_VWCFinal_25_m3_m3__smoothed,SM_VWCFinal_25_m3_m3__d1,SM_VWCFinal_25_m3_m3__d2,SM_VWCFinal_45_m3_m3__smoothed,SM_VWCFinal_45_m3_m3__d1,SM_VWCFinal_45_m3_m3__d2,SM_VWCFinal_50_m3_m3__smoothed,SM_VWCFinal_50_m3_m3__d1,SM_VWCFinal_50_m3_m3__d2,SM_VWCFinal_65_m3_m3__smoothed,SM_VWCFinal_65_m3_m3__d1,SM_VWCFinal_65_m3_m3__d2,SM_VWCFinal_85_m3_m3__smoothed,SM_VWCFinal_85_m3_m3__d1,SM_VWCFinal_85_m3_m3__d2,SM_VWCFinal_105_m3_m3__smoothed,SM_VWCFinal_105_m3_m3__d1,SM_VWCFinal_105_m3_m3__d2,SM_VWCFinal_125_m3_m3__smoothed,SM_VWCFinal_125_m3_m3__d1,SM_VWCFinal_125_m3_m3__d2,SM_VWCFinal1_140_m3_m3__smoothed,SM_VWCFinal1_140_m3_m3__d1,SM_VWCFinal1_140_m3_m3__d2
2025-12-15 12:00:00.009,0.361218,0.368453,0.336175,0.305399,0.283518,0.289208,0.28794,0.278642,0.282649,0.0,0.0,0.0,1.0,0.0,0.2827116190476191,-0.0017964801826543097,0.00020759762786050457,0.27883509523809524,-0.0004950963383092963,-1.752320282232393e-05,0.28798302380952373,1.3833364074188602e-05,-2.1095270036462223e-05,0.2892934523809524,8.769067105866298e-05,-1.9309646832325685e-05,0.2835470952380953,0.00015790511280505418,-3.4952602606465284e-05,0.30540600000000007,7.535731031785825e-05,-1.8250106870333055e-05,0.33608592857142866,-0.00013964316746094645,7.214465278280569e-06,0.36847759523809515,-1.616670259265621e-05,-9.23808144503775e-06,0.3611803095238095,-2.8809587830098935e-06,1.4047664814797793e-06
2025-12-15 13:00:00.001,0.361113,0.368518,0.335927,0.305271,0.283696,0.289515,0.288018,0.278464,0.281097,0.0,0.0,0.0,0.9999977777777779,0.9999977777777779,0.280915142857143,-0.001588883016121867,0.0003113952701893544,0.27834000000000003,-0.0005126195021911695,-2.628492989956903e-05,0.2879968571428571,-7.261859083895761e-06,-3.1642844583440734e-05,0.2893811428571429,6.838106713666359e-05,-2.8964388844566883e-05,0.2837050000000001,0.00012295258787103913,-5.2428756845837426e-05,0.30548135714285723,5.7107244003318236e-05,-2.7375085979940196e-05,0.33594628571428586,-0.00013242871821481095,1.0821630392271448e-05,0.3684614285714285,-2.5404763508624084e-05,-1.3857103402699685e-05,0.3611774285714286,-1.4761954232334062e-06,2.107145014914847e-06
2025-12-15 14:00:00.002,0.361222,0.368293,0.335508,0.30595,0.283859,0.289507,0.287998,0.278056,0.279491,0.0,0.0,0.0,1.000000277777778,1.9999980555555557,0.2795338571428573,-0.0011736897287775439,0.000414012877984522,0.27780985714285716,-0.0005476661908075386,-7.110694075351261e-05,0.2879685,-4.945231630287816e-05,-4.942264205370331e-05,0.2894302142857144,2.9761901415403802e-05,-5.2101253725454954e-05,0.2837930000000001,5.304761367730393e-05,-8.317867624044916e-05,0.3055202142857144,2.060714596235913e-05,-4.5654815037411355e-05,0.33582107142857165,-0.00011799990968261453,2.1386981949600897e-05,0.3684267857142857,-4.388090554882651e-05,-3.0315482688506288e-05,0.3611773571428572,1.3333306614904394e-06,9.470245729220056e-06
2025-12-15 15:00:00.007,0.361109,0.368612,0.335877,0.305469,0.283886,0.289313,0.288029,0.277439,0.278297,0.0,0.0,0.0,1.000001388888889,2.999999444444444,0.2785677619047621,-0.0007608565727542371,0.0004342255963330948,0.2772446666666669,-0.0006548335823437224,-6.772659865237214e-05,0.2878979523809526,-0.00010610724163392926,-5.194054055892965e-05,0.28944066666666685,-3.58215571099052e-05,-4.284521085153421e-05,0.28381109523809545,-4.340493273816137e-05,-9.155953521997238e-05,0.30552257142857164,-3.4202482506712206e-05,-6.062503190151329e-05,0.33571028571428596,-8.965470320801416e-05,3.274993771990848e-05,0.36837366666666693,-8.603580572111302e-05,-4.261887329734993e-06,0.36118009523809547,1.7464326620558746e-05,5.714081811461352e-07
2025-12-15 16:00:00.002,0.36121,0.368193,0.335849,0.305279,0.283665,0.289278,0.287649,0.276241,0.278207,0.0,0.0,0.0,0.9999986111111111,3.999998055555556,0.27801214285714304,-0.0003052386549612651,0.00043467852665102984,0.2765001904761907,-0.0006831196072266676,7.036914621244973e-05,0.2877562857142859,-0.00015333342361129043,-2.555354037780838e-05,0.2893585714285716,-5.592864661058128e-05,1.1458357383496804e-05,0.2837061904761907,-0.00013007148394525436,-2.1429254844448896e-06,0.30545180952380974,-0.00010064288553249257,1.3243947357038613e-05,0.33564176190476214,-5.250005871371144e-05,-5.065403249829754e-06,0.36825471428571455,-5.2404890724416786e-05,1.3208459742904353e-05,0.361212285714286,2.476233465692479e-06,-1.6232174828965584e-05
2025-12-15 17:00:00.002,0.361276,0.368115,0.335376,0.305372,0.283557,0.289534,0.287544,0.275787,0.277951,0.0,0.0,0.0,1.0,4.999998055555555,0.2779572857142859,0.00010849981866087322,0.00029415492212371346,0.27587842857142875,-0.000514095113611307,0.0001728693789258891,0.28759128571428594,-0.00015721422669651153,1.0381029682609704e-05,0.2893288095238097,-1.2904770575361546e-05,9.821496749392359e-06,0.28355095238095257,-4.769054594241928e-05,0.00010261899170979078,0.30532128571428596,-7.7143848411787e-06,7.733330106156377e-05,0.335605285714286,-9.978561995052648e-05,-9.476151140820317e-06,0.3682688571428574,-5.961896130959876e-05,-1.2452272357679214e-05,0.3611850476190479,-1.5000003948412166e-05,6.130905972185836e-06
2025-12-15 18:00:00.005,0.361152,0.368173,0.335462,0.305407,0.283518,0.289189,0.287517,0.275593,0.278095,0.0,0.0,0.0,1.0000008333333334,5.999998888888888,0.27822914285714306,0.00028307123510926124,0.00012121440556579584,0.2754720000000002,-0.00033738069890892897,0.0001567498474239695,0.2874418571428573,-0.00013257133182548175,6.464188829276716e-06,0.2893327619047621,-3.628570026453781e-05,-4.02142939154697e-05,0.28361080952380974,7.51666187202571e-05,7.984524983478381e-05,0.3054363809523812,5.402375504304224e-05,1.4869106689791514e-05,0.33544219047619067,-7.145230587643492e-05,8.339282682560571e-05,0.3681354761904765,-7.730945454700877e-05,3.0107113422683146e-05,0.361182285714286,1.4738089864407833e-05,2.6309021593886716e-06
2025-12-15 19:00:00.007,0.361109,0.368363,0.33552,0.30552,0.283611,0.289278,0.287304,0.275279,0.278623,0.0,0.0,0.0,1.0000005555555556,6.999999444444445,0.27852342857142875,0.00035092882778850476,8.083332921691221e-05,0.27520366666666685,-0.00020059518996390358,0.00014249980935860914,0.2873261428571431,-0.00014428582996064976,-1.089290970256629e-05,0.28925623809523826,-9.333340490760844e-05,-3.792853009277582e-05,0.2837012857142859,0.00011200008851877663,-8.118992027037186e-06,0.30542933333333355,2.202387522826088e-05,-6.583249441163777e-06,0.3354623809523812,6.700011893542857e-05,8.47141871596944e-05,0.36811423809523836,5.952807969888951e-07,2.3809494203050667e-05,0.36121452380952407,-9.738180916069039e-06,-2.5321459143540757e-05
2025-12-15 20:00:00.002,0.361214,0.367847,0.335481,0.30552,0.2841,0.289197,0.287195,0.275054,0.279072,0.0,0.0,0.0,0.9999986111111111,7.999998055555555,0.27893100000000015,0.00044473777572068274,6.671426700824152e-05,0.27507080952380975,-5.238122116410504e-05,0.00013320244921291276,0.2871532857142859,-0.0001543571453482273,3.3690419739096058e-06,0.2891460952380954,-0.00011214280319513104,-1.255952376015335e-05,0.2838348095238097,5.892881624688928e-05,-0.0001053333478042488,0.30548042857142876,4.0857162804469604e-05,-1.226189858792358e-05,0.3355761904761907,9.797620682933106e-05,1.7083368859319627e-05,0.3681366666666669,-2.9690275612143102e-05,-4.8869024451157674e-05,0.3611628095238098,-3.590480403456442e-05,-1.7773852209069488e-05
2025-12-15 21:00:00.010,0.3613,0.368065,0.33578,0.305248,0.283665,0.289003,0.286951,0.274821,0.27927,0.0,0.0,0.0,1.0000022222222222,9.000000277777778,0.27941290476190495,0.0004843572217151093,3.302423199758427e-05,0.27509890476190496,6.580971104575006e-05,0.00011478586720246584,0.28701742857142876,-0.00013754764613577164,9.535593012537848e-06,0.28903195238095264,-0.00011845241775593207,1.3666635476165078e-05,0.28381914285714305,-9.866707231598326e-05,-0.00012311913433854404,0.30551104761904785,-2.50015674277404e-06,-2.898807520823411e-05,0.33565833333333356,0.0001011667705534125,6.000087427226974e-06,0.36805485714285735,-9.714294304338789e-05,-8.118980740557626e-06,0.36114271428571454,-4.528583953092302e-05,-2.3261989054270528e-05
