Feature,Importance
Initial_Drainage_Rate,49.0945182958521
Total_Water_mm,14.848855366243987
Pre_Event_VMC,11.08553938563765
Depth_cm,10.39014510581321
Peak_VMC,5.134101298029432
Month,3.1429567182996503
Peak_Hour,2.897677829819705
VMC_Rise,2.20329011614083
LeaveOneEventOut_SAX_Similarity,1.2029158841634553
