iter	RMSE
0	0.04036631536
1	0.04018457203
2	0.03989768741
3	0.03972695615
4	0.03944371853
5	0.03916283209
6	0.03898680409
7	0.0387093747
8	0.03857661774
9	0.03841249506
10	0.03813969898
11	0.03796830276
12	0.03779859383
13	0.03763055546
14	0.0373632669
15	0.03709819356
16	0.0368353186
17	0.03670548081
18	0.0365497135
19	0.03629134086
20	0.03603511736
21	0.03578102672
22	0.03563045803
23	0.03537961946
24	0.03513087322
25	0.03488420349
26	0.03463959456
27	0.03439703088
28	0.03425371869
29	0.03401427543
30	0.0337768387
31	0.03354139338
32	0.03330792446
33	0.03315823273
34	0.03292765636
35	0.03278033353
36	0.03255261115
37	0.03240761866
38	0.03235151103
39	0.03221736239
40	0.03207466335
41	0.03185192451
42	0.03172458352
43	0.03150471833
44	0.03137483467
45	0.03115781275
46	0.03101985307
47	0.03080551468
48	0.03059297811
49	0.0304678875
50	0.03025810724
51	0.03005009503
52	0.02984383763
53	0.02974290596
54	0.02953931716
55	0.02933745131
56	0.02920733787
57	0.02907846068
58	0.02887990486
59	0.02868302924
60	0.02848782127
61	0.02829426853
62	0.02810235869
63	0.02791207952
64	0.02778908256
65	0.02760117767
66	0.02748009014
67	0.02729452865
68	0.02711054576
69	0.02692812977
70	0.02683705241
71	0.02665691055
72	0.02654009545
73	0.02645369934
74	0.02627675743
75	0.02610133031
76	0.02592740678
77	0.02575497569
78	0.02558402601
79	0.02541454677
80	0.02532989487
81	0.02516254764
82	0.02499664333
83	0.0248321713
84	0.02473312189
85	0.02457085369
86	0.02440999126
87	0.02431549355
88	0.02415679283
89	0.02406417487
90	0.02390761139
91	0.02375241248
92	0.02359856809
93	0.02344606824
94	0.02329490302
95	0.02314506263
96	0.02299653729
97	0.02284931735
98	0.0227033932
99	0.0225587553
